Title,Rating,Votes,Duration,Genre
347. Isle: Alpha One,8.4, (7),1h 37m,Animation
365. Ninja Doomscrolling,8.1, (102),1h 36m,Animation
1. Moana 2,6.7, (92K),1h 40m,fantasy
2. Wicked,7.5, (146K),2h 40m,fantasy
3. Nosferatu,7.3, (182K),2h 12m,fantasy
4. Flow,7.9, (63K),1h 25m,fantasy
5. Sonic the Hedgehog 3,6.9, (54K),1h 50m,fantasy
6. Mufasa: The Lion King,6.6, (49K),1h 58m,fantasy
7. Better Man,7.6, (23K),2h 15m,fantasy
8. Parthenope,6.6, (9.6K),2h 17m,fantasy
9. The Lord of the Rings: The War of the Rohirrim,6.3, (28K),2h 14m,fantasy
10. Megalopolis,4.7, (35K),2h 18m,fantasy
11. Solo Leveling: ReAwakening,8.8, (8.9K),2h 1m,fantasy
12. Beetlejuice Beetlejuice,6.7, (144K),1h 45m,fantasy
13. Inside Out 2,7.5, (212K),1h 36m,fantasy
14. The Life of Chuck,7.7, (465),1h 50m,fantasy
15. Damsel,6.1, (108K),1h 50m,fantasy
16. The Watchers,5.7, (56K),1h 42m,fantasy
17. The Crow,4.7, (33K),1h 51m,fantasy
18. IF,6.4, (57K),1h 44m,fantasy
19. Transformers One,7.6, (48K),1h 44m,fantasy
20. Red One,6.3, (138K),2h 3m,fantasy
21. Godzilla x Kong: The New Empire,6.1, (120K),1h 55m,fantasy
22. Ghostbusters: Frozen Empire,6.1, (92K),1h 55m,fantasy
23. Uglies,4.7, (32K),1h 40m,fantasy
24. Harold and the Purple Crayon,5.7, (8K),1h 30m,fantasy
25. Kung Fu Panda 4,6.3, (67K),1h 34m,fantasy
26. The Garfield Movie,5.7, (24K),1h 41m,fantasy
27. Kalki 2898 AD,7.0, (66K),3h,fantasy
28. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,fantasy
29. Spellbound,5.6, (6.6K),1h 49m,fantasy
30. Rebel Moon - Part Two: The Scargiver,5.3, (59K),2h 2m,fantasy
31. This Is Me... Now,4.1, (7.1K),1h 5m,fantasy
32. The End,5.5, (1.6K),2h 28m,fantasy
33. Irish Wish,5.2, (21K),1h 33m,fantasy
34. Girl Haunts Boy,6.3, (2.8K),1h 40m,fantasy
35. Monster Summer,5.7, (3.5K),1h 37m,fantasy
36. The Tearsmith,5.2, (12K),1h 43m,fantasy
37. Hagen,6.1, (1.1K),2h 19m,fantasy
38. The American Society of Magical Negroes,3.7, (12K),1h 44m,fantasy
39. Orion and the Dark,6.3, (17K),1h 33m,fantasy
40. The Wonderful Story of Henry Sugar and Three More,7.1, (6.3K),1h 28m,fantasy
41. Bhool Bhulaiyaa 3,4.7, (77K),2h 38m,fantasy
42. Family Pack,5.5, (8.8K),1h 34m,fantasy
43. The Best Christmas Pageant Ever,6.8, (6K),1h 39m,fantasy
44. Justice League: Crisis on Infinite Earths - Part One,6.2, (8.4K),1h 33m,fantasy
45. Justice League: Crisis on Infinite Earths - Part Three,6.1, (4.4K),1h 34m,fantasy
46. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,fantasy
47. Dear Santa,5.4, (18K),1h 47m,fantasy
48. The Balconettes,6.3, (762),1h 44m,fantasy
49. Thelma the Unicorn,5.7, (2.9K),1h 33m,fantasy
50. Pedro Páramo,6.3, (2.9K),2h 10m,fantasy
51. Hanu Man,7.7, (29K),2h 38m,fantasy
52. Buffalo Kids,6.6, (647),1h 33m,fantasy
53. The Thundermans Return,5.0, (1.8K),1h 10m,fantasy
54. Hot Frosty,5.3, (15K),1h 32m,fantasy
55. The Sand Castle,4.7, (1.6K),1h 38m,fantasy
56. Seven Cemeteries,4.5, (522),1h 24m,fantasy
57. That Christmas,6.8, (17K),1h 31m,fantasy
58. Woodwalkers,5.3, (367),1h 43m,fantasy
59. The Tiger's Apprentice,5.7, (2.1K),1h 24m,fantasy
60. Ultraman: Rising,6.9, (6.2K),1h 57m,fantasy
61. Cinderella's Curse,3.3, (1.3K),1h 22m,fantasy
62. Timestalker,5.5, (2.9K),1h 29m,fantasy
63. Justice League: Crisis on Infinite Earths - Part Two,5.5, (5.2K),1h 34m,fantasy
64. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,fantasy
65. Angels Fallen: Warriors of Peace,4.9, (5.8K),1h 43m,fantasy
66. The Lost Tiger,7.8, (41),1h 30m,fantasy
67. A Dog's Will 2,6.3, (2.8K),1h 44m,fantasy
68. 10 Lives,5.9, (1.9K),1h 28m,fantasy
69. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,fantasy
70. Cinderella's Revenge,3.7, (1.1K),1h 25m,fantasy
71. Dan Da Dan: First Encounter,8.2, (2.6K),1h 23m,fantasy
72. Mononoke the Movie: The Phantom in the Rain,6.8, (1.2K),1h 29m,fantasy
73. Dragonkeeper,5.7, (1.6K),1h 38m,fantasy
75. Dalia y el Libro Rojo,6.5, (63),1h 47m,fantasy
76. Warchief,2.5, (602),1h 34m,fantasy
77. Unspeakable: Beyond the Wall of Sleep,5.9, (39),1h 30m,fantasy
78. Alienoid: The Return to the Future,6.5, (2.5K),2h 2m,fantasy
79. Chantal in Fairyland,4.6, (2.6K),1h 58m,fantasy
80. Demon Slayer: Kimetsu No Yaiba - To the Hashira Training,7.1, (8.3K),1h 44m,fantasy
81. Mars,8.9, (19),1h 24m,fantasy
82. Harry Potter and the Stone,8.0, (156),2h 32m,fantasy
83. 200% Wolf,6.0, (1.3K),1h 38m,fantasy
84. Rebellious,6.0, (170),1h 34m,fantasy
85. The Night Before Christmas in Wonderland,6.3, (509),1h 20m,fantasy
86. Man and Witch: The Dance of a Thousand Steps,5.5, (327),1h 34m,fantasy
87. Devil's Knight,5.4, (781),1h 30m,fantasy
88. Thangalaan,6.6, (6.5K),2h 36m,fantasy
89. A.R.M,7.1, (8.6K),2h 30m,fantasy
90. Panda Bear in Africa,5.5, (310),1h 24m,fantasy
91. Ryan's World the Movie: Titan Universe Adventure,1.8, (659),1h 20m,fantasy
92. Overlord: The Sacred Kingdom,7.0, (707),2h 15m,fantasy
93. Kanguva,4.5, (14K),2h 32m,fantasy
94. Niko: Beyond the Northern Lights,6.2, (310),1h 26m,fantasy
"95. Love, Danielle",8.9, (38),1h 19m,fantasy
96. Assassin's Guild,3.7, (114),1h 43m,fantasy
97. Cells at Work!,6.8, (173),1h 49m,fantasy
98. Ghost Cat Anzu,6.5, (725),1h 37m,fantasy
99. Robin and the Hoods,4.3, (504),1h 40m,fantasy
100. Barroz: Guardian of Treasures,3.5, (960),2h 35m,fantasy
101. Snatched a Billionaire to Be My Husband,7.6, (650),1h 10m,fantasy
102. Sketch,8.3, (42),1h 32m,fantasy
103. White Snake: Afloat,6.9, (436),2h 13m,fantasy
104. Super-Charlie,5.8, (109),1h 20m,fantasy
105. The Invisibles,5.9, (454),1h 51m,fantasy
106. Else,6.1, (228),1h 40m,fantasy
107. The Keepers of the 5 Kingdoms,4.1, (217),1h 49m,fantasy
108. Balestra,5.1, (517),2h 25m,fantasy
110. School of Magical Animals 3,5.9, (299),1h 45m,fantasy
111. The Witch: Revenge,5.3, (780),1h 40m,fantasy
112. Nonostante,5.9, (73),1h 33m,fantasy
113. The Sleeping Woman,5.2, (554),1h 50m,fantasy
114. Shrek 5: The Contract - A Fan Made Film,7.0, (18),1h 24m,fantasy
115. The Opera!,7.2, (46),1h 46m,fantasy
116. The Goat,6.0, (91),1h 40m,fantasy
117. A Trip Elsewhere,5.5, (97),1h 33m,fantasy
118. The Slave and the Sorcerer,6.7, (38),1h 26m,fantasy
119. Witch,5.1, (1.4K),1h 47m,fantasy
120. Dongeng Sang Kancil,8.3, (81),1h 39m,fantasy
121. Lesbian Space Princess,8.0, (99),1h 27m,fantasy
122. Orang Ikan,6.5, (32),1h 23m,fantasy
123. The Phantom Warrior,2.4, (553),1h 59m,fantasy
124. The Casagrandes Movie,5.6, (657),1h 29m,fantasy
125. Once Upon a Christmas Wish,6.1, (316),1h 30m,fantasy
"126. Maya, donne-moi un titre",6.4, (48),1h 1m,fantasy
127. Tim Travers & the Time Travelers Paradox,6.9, (273),1h 35m,fantasy
128. Big City Greens the Movie: Spacecation,6.2, (536),TV-Y7,fantasy
129. UmroAyyar - A New Beginning,6.9, (670),2h 15m,fantasy
130. The Yin Yang Master Zero,5.7, (257),1h 52m,fantasy
132. Enchanting Christmas,6.3, (352),1h 31m,fantasy
133. Witch Hunter,5.2, (23),1h 20m,fantasy
134. Last Song for You,7.3, (91),1h 50m,fantasy
135. Aalan,6.3, (1.1K),2h 17m,fantasy
136. My Oni Girl,6.0, (1.7K),1h 52m,fantasy
137. Elli and the Ghostly Ghost Train,5.0, (90),1h 26m,fantasy
"138. Die Heinzels: Neue Mützen, Neue Mission",6.4, (74),1h 16m,fantasy
139. The Ballad of Hortensia,6.7, (126),1h 34m,fantasy
140. Fuuto PI: Portrait of Kamen Rider Skull,7.6, (31),1h 22m,fantasy
141. Letuchiy korabl,3.8, (291),1h 40m,fantasy
142. Bremenskie muzykanty,4.6, (662),1h 55m,fantasy
143. Spirit World,5.7, (57),1h 34m,fantasy
144. Fidil Ghorm,7.8, (7),1h 26m,fantasy
145. Empire Queen: The Golden Age of Magic,3.2, (204),2h 28m,fantasy
146. Heartsping : Teenieping of Love,7.0, (22),TV-Y,fantasy
148. Hanami,6.8, (99),1h 36m,fantasy
150. Zak & Wowo: The Legend of Lendarys,5.7, (87),1h 25m,fantasy
152. Una ballena,6.0, (48),1h 48m,fantasy
154. Gaami,6.4, (2K),2h 27m,fantasy
155. The Epidemic,5.8, (69),1h 35m,fantasy
156. The Sisters,4.7, (147),2h 2m,fantasy
157. White Cobra Diamond Fox vs the Golden Eye,5.2, (24),1h 30m,fantasy
158. Vertical,5.2, (120),1h 51m,fantasy
159. Dr. Sander's Sleep Cure,6.4, (712),1h 38m,fantasy
160. King Baby,7.0, (24),1h 28m,fantasy
161. Oshi no Ko: The Final Act,7.7, (97),2h 9m,fantasy
162. We Work for the Dead,6.7, (505),1h 24m,fantasy
163. Seven Seas Seven Hills,8.7, (86),1h 30m,fantasy
164. River of Ghosts,3.0, (302),1h 42m,fantasy
165. Mayan,8.8, (130),1h 53m,fantasy
167. The Time Travel Hills,5.8, (68),1h 22m,fantasy
168. Dead Dead Demon's Dededede Destruction,7.0, (139),2h,fantasy
169. My Future You,8.6, (46),1h 49m,fantasy
171. Nyctophobia,7.6, (1.8K),1h 30m,fantasy
174. The Heartsmith,9.6, (42),1h 35m,fantasy
175. Bodegón con fantasmas,6.5, (148),1h 28m,fantasy
176. The Vord,3.4, (64),1h 41m,fantasy
177. Schirkoa: In Lies We Trust,5.6, (154),1h 43m,fantasy
178. A Song from the Dark,4.8, (2.2K),1h 45m,fantasy
179. All In,5.6, (84),1h 43m,fantasy
180. Don Dukun,7.0, (48),1h 38m,fantasy
181. The Evil Fairy Queen,5.5, (46),1h 30m,fantasy
182. Saint Young Men: Holy Men vs Demon Army,3.0, (13),1h 33m,fantasy
184. The Fisherman,7.1, (41),1h 45m,fantasy
185. Penguin Girl,6.9, (11),1h 38m,fantasy
186. The Woods Are Real,2.4, (458),1h 20m,fantasy
187. Captain Avispa,5.8, (172),1h 36m,fantasy
188. The Worlds Divide,8.0, (36),2h,fantasy
189. Baba Yaga spasaet Novyy god,4.4, (113),1h 39m,fantasy
191. Letters at Christmas,3.7, (170),1h 24m,fantasy
192. Fureru,6.4, (23),1h 47m,fantasy
193. Princesa Adormecida,3.8, (153),1h 20m,fantasy
194. Sureshinteyum Sumalathayudeyum Hridayahariyaya Pranayakatha,5.9, (83),2h 18m,fantasy
195. The Proud Princess,7.2, (102),1h 24m,fantasy
196. SuperKlaus,4.3, (196),1h 28m,fantasy
197. Respati,5.8, (279),1h 52m,fantasy
198. Bhairadevi,8.8, (44),2h 14m,fantasy
199. Hold Me Close,7.0, (10),1h 38m,fantasy
200. Princess Halle and the Jester,4.8, (61),1h 11m,fantasy
201. Vidente por Acidente,5.0, (72),1h 33m,fantasy
202. Universal Groove,5.4, (169),1h 14m,fantasy
203. Videotheque,6.2, (98),1h 52m,fantasy
204. Wonderful Precure! The Movie! Doki Doki Game no Sekai de Daiboken,6.8, (28),1h 11m,fantasy
205. Planet 7693,7.6, (66),1h 50m,fantasy
206. Hakkenden,5.8, (73),2h 29m,fantasy
207. Dragon Ball Z Kai,8.4, (66),1h 22m,fantasy
208. The Traveller,5.2, (203),2h 14m,fantasy
209. Rita,5.8, (265),1h 47m,fantasy
210. Intercambiadas,6.5, (50),1h 37m,fantasy
211. Spirit Riser,6.7, (33),1h 38m,fantasy
212. Si Juki the Movie: Harta Pulau Monyet,6.0, (115),1h 47m,fantasy
213. Ebenezer: The Traveler,3.5, (144),1h 42m,fantasy
"214. Don't Cry, Butterfly",6.4, (108),1h 37m,fantasy
215. Sunce nikad vise,7.5, (20),1h 12m,fantasy
216. Kajolrekha,6.3, (170),2h 36m,fantasy
217. Turma da Mônica Jovem: Reflexos do Medo,2.8, (255),1h 28m,fantasy
218. Nie Xiaoqian,6.4, (16),1h 52m,fantasy
219. Pechi,5.5, (1.5K),1h 50m,fantasy
221. Ienai Himitsu,6.9, (59),1h 55m,fantasy
222. Ooru Peru Bhairavakona,5.7, (1.7K),2h 13m,fantasy
223. Askepote,3.5, (80),1h 12m,fantasy
224. The Seductress from Hell,7.0, (16),1h 42m,fantasy
225. Ognivo,5.5, (216),1h 45m,fantasy
226. Maya Puthagam,5.4, (424),2h 2m,fantasy
227. The Gesuidouz,6.9, (52),1h 33m,fantasy
228. Malaikottai Vaaliban,6.0, (4.1K),2h 36m,fantasy
229. Carol,8.3, (47),1h 55m,fantasy
230. Vincent,8.5, (33),1h 32m,fantasy
231. The Jester from Transylvania,4.8, (37),1h 42m,fantasy
233. Vampire Genesis,4.4, (36),1h 45m,fantasy
234. The Secret of Pin-Up Island,7.4, (92),1h 47m,fantasy
235. Un cuento de pescadores,7.3, (38),1h 43m,fantasy
236. Naag Bhoomi,5.7, (8),2h 10m,fantasy
237. Fragments of Us,7.7, (9),49m,fantasy
238. Into the Mortal World,6.8, (143),1h 58m,fantasy
239. Wedding Diaries,9.0, (2K),2h 1m,fantasy
241. Joachim and the Apocalypse,7.2, (13),1h 30m,fantasy
242. Les tempêtes,5.7, (21),1h 24m,fantasy
243. Double Tuckerr,5.0, (1.2K),2h,fantasy
245. Advent,7.5, (6),1h 59m,fantasy
"248. The Girl, the Hunter & the Firefly",7.3, (19),1h 38m,fantasy
250. Blue Christmas,5.6, (21),1h 19m,fantasy
251. The Beads,6.3, (11),1h 40m,fantasy
252. Keo=peul-ji-ok,5.3, (7),1h 34m,fantasy
253. Couple in the Woods,5.8, (30),1h 5m,fantasy
254. River Returns,6.8, (12),1h 49m,fantasy
255. The Supernatural Sweet Shop: The Movie,7.9, (15),1h 43m,fantasy
256. Mephisto,5.4, (61),1h 48m,fantasy
257. Hiçbir Sey Normal Degil,6.4, (63),1h 11m,fantasy
258. Tokusou Sentai Dekaranger 20th: Fireball Booster,7.1, (29),50m,fantasy
259. Apollon by Day Athena by Night,6.9, (11),1h 52m,fantasy
260. Samaya bolshaya luna,2.4, (128),1h 45m,fantasy
261. Two Breaths,8.1, (21),18m,fantasy
262. Fights Break Sphere 3,4.7, (8),1h 21m,fantasy
263. Snake Skin Beauty,4.1, (19),1h 23m,fantasy
264. Maxxie LaWow: Drag Super-shero,8.9, (55),1h 54m,fantasy
266. The Eye of the Salamander,7.9, (20),1h 21m,fantasy
267. Lilla spöket Laban spökar igen,6.1, (24),44m,fantasy
268. The Umbrella Fairy,5.5, (48),1h 35m,fantasy
269. Domovyonok Kuzya,6.6, (805),1h 30m,fantasy
270. Dead Dead Demon's Dededede Destruction Zenpen,7.0, (136),2h,fantasy
271. Soul Traveler (The Feature),4.2, (22),1h 36m,fantasy
272. Yao Shen Ling,6.7, (66),1h 33m,fantasy
273. Chhota Bheem and the Curse of Damyaan,4.8, (2.3K),2h 25m,fantasy
275. Nueva Tierra,7.6, (30),2h 3m,fantasy
277. Sith Wars: Episódio III - Fantasmas Dos Sith,8.6, (114),1h 39m,fantasy
278. Ella,9.3, (64),1h 31m,fantasy
281. Tara - The Lost Star,9.9, (10),1h 30m,fantasy
282. Traces of Love,6.5, (903),1h 45m,fantasy
283. Spin the Wheel,6.0, (87),1h 42m,fantasy
284. JAPA,7.5, (15),1h 50m,fantasy
285. Cedric & Alysia,5.1, (51),1h 24m,fantasy
287. Demon Host,5.9, (17),1h 20m,fantasy
288. Mother Maker Lover Taker,6.1, (32),1h 39m,fantasy
290. Fenómenos naturales,7.4, (28),1h 20m,fantasy
291. Achilles Curse and the Curse of Treasure,7.4, (24),2h 5m,fantasy
292. Apokrif,8.6, (18),1h 4m,fantasy
293. Vasilisa i khraniteli vremeni,3.2, (66),1h 38m,fantasy
294. The Old Man and the Demon Sword,7.6, (35),1h 3m,fantasy
296. Formula vody,4.5, (27),1h 26m,fantasy
297. Bob a Bobek ve filmu: Na stope Mrkvojeda,8.7, (18),1h 20m,fantasy
298. Domovoy,4.3, (289),1h 42m,fantasy
299. Pushpaka Vimanam,5.6, (16),2h 17m,fantasy
300. Tri bogatyrya. Ni dnya bez podviga,5.7, (62),1h 1m,fantasy
303. Code Duello: From the Tithebanner Saga,8.9, (338),1h 1m,fantasy
304. 10/31 Part 4,5.6, (17),1h 27m,fantasy
307. Woof Woof Daddy,6.5, (39),1h 45m,fantasy
308. Bloodspawn,5.7, (9),1h 16m,fantasy
309. UnichtoZhanna,3.3, (50),1h 38m,fantasy
310. The Journey of Flower,3.9, (25),1h 37m,fantasy
315. Sharma & Ambani,9.1, (183),1h 44m,fantasy
320. Supersiostry,3.9, (134),1h 30m,fantasy
324. IZLIYORLAR,7.2, (28),1h 53m,fantasy
"325. Fallen Leaves, Broken Lighters",7.7, (7),1h 36m,fantasy
326. Witches of God,7.6, (16),1h 13m,fantasy
328. Darker Than Night,4.7, (24),1h 22m,fantasy
332. Brush of the God,6.5, (13),1h 14m,fantasy
334. Wonderland,6.8, (12),2h,fantasy
336. Painted Skin,6.8, (52),1h 20m,fantasy
337. Black Dragon,3.9, (9),1h 39m,fantasy
339. Iron Nest of the Moon,7.6, (13),1h 10m,fantasy
344. Wanderer,7.0, (9),46m,fantasy
346. Horse with No Name,7.5, (12),1h 12m,fantasy
347. Princezna na hrásku,5.6, (63),1h 20m,fantasy
354. I Am Moon,8.0, (9),2h 7m,fantasy
359. Let's Go! Anpanman: Baikinman and Lulun,6.5, (7),1h 4m,fantasy
360. Sahmeran Efsanesi-Tulhan,5.9, (32),16+,fantasy
361. And Through the Portal We Go,7.4, (8),1h 23m,fantasy
365. Xiao zi,3.5, (12),1h 41m,fantasy
368. Dracu Ra,5.5, (34),1h 46m,fantasy
373. Chyortov kamen,6.4, (9),1h 45m,fantasy
380. Kyle and the Last Emerald 2,8.4, (7),15m,fantasy
381. Krapiva: Tsvetok smerti,6.0, (48),1h 21m,fantasy
388. Bicho Monstro,8.0, (5),1h 15m,fantasy
389. Nebesko,5.2, (10),1h 13m,fantasy
391. Gato Galactico e o Feitiço do Tempo,7.7, (68),1h 25m,fantasy
392. Velký Pán,7.0, (8),1h 13m,fantasy
396. LUDA,7.2, (6),1h 26m,fantasy
399. Lucid Love,8.6, (29),1h 11m,fantasy
408. Skazochnyy patrul. Shou prodolzhayetsya,7.2, (11),1h 5m,fantasy
"413. Bryson, the Demon Slayer",4.5, (12),59m,fantasy
445. The Legend of the Cat Demon,4.8, (12),1h 25m,fantasy
447. Kan dao ling hun de na zhi yan shi gong,3.3, (12),2h 4m,fantasy
468. The Blinkless,7.8, (12),59m,fantasy
481. Kyle and the Last Emerald,5.6, (17),20m,fantasy
498. Cageling,5.9, (8),1h 9m,fantasy
1. Moana 2,6.7, (91K),1h 40m,family
2. Flow,7.9, (63K),1h 25m,family
3. The Day the Earth Blew Up: A Looney Tunes Movie,7.0, (2.8K),1h 31m,family
4. Sonic the Hedgehog 3,6.9, (54K),1h 50m,family
5. Mufasa: The Lion King,6.6, (49K),1h 58m,family
6. Paddington in Peru,6.7, (18K),1h 46m,family
7. Despicable Me 4,6.2, (63K),1h 34m,family
8. Inside Out 2,7.5, (212K),1h 36m,family
9. IF,6.4, (57K),1h 44m,family
10. Transformers One,7.6, (48K),1h 44m,family
11. Wallace & Gromit: Vengeance Most Fowl,7.5, (33K),1h 22m,family
12. Harold and the Purple Crayon,5.7, (8K),1h 30m,family
13. Kung Fu Panda 4,6.3, (67K),1h 34m,family
14. Young Hearts,8.1, (4.5K),1h 39m,family
15. The Garfield Movie,5.7, (24K),1h 41m,family
16. The Forge,6.7, (4.6K),2h 4m,family
17. Descendants: The Rise of Red,4.7, (6.9K),1h 31m,family
18. Spellbound,5.6, (6.6K),1h 49m,family
19. How to Make Millions Before Grandma Dies,8.0, (13K),2h 5m,family
20. My Penguin Friend,6.7, (4.8K),1h 37m,family
21. Hitpig,5.1, (856),1h 26m,family
22. Faith of Angels,5.9, (176),1h 38m,family
23. Piece by Piece,6.9, (5.2K),1h 33m,family
24. You Gotta Believe,5.8, (1.3K),1h 44m,family
25. Unsung Hero,7.0, (4.9K),1h 53m,family
26. Orion and the Dark,6.3, (17K),1h 33m,family
27. A Sloth Story,5.6, (188),1h 30m,family
28. Megamind vs. The Doom Syndicate,2.5, (5.5K),1h 23m,family
29. Lost on a Mountain in Maine,6.1, (1.1K),1h 38m,family
30. Saving Bikini Bottom: The Sandy Cheeks Movie,3.7, (3.8K),1h 22m,family
31. Big World,7.4, (1.1K),2h 11m,family
32. Thelma the Unicorn,5.7, (2.9K),1h 33m,family
33. Buffalo Kids,6.6, (647),1h 33m,family
34. The Thundermans Return,5.0, (1.8K),1h 10m,family
35. Fear,8.5, (2.8K),1h 55m,family
36. That Christmas,6.8, (17K),1h 31m,family
37. Noah's Ark,4.3, (629),1h 36m,family
38. Woodwalkers,5.3, (365),1h 43m,family
39. Guest from the Future,6.0, (1.2K),2h 21m,family
40. The Tiger's Apprentice,5.7, (2.1K),1h 24m,family
41. Ultraman: Rising,6.9, (6.2K),1h 57m,family
42. Doraemon the Movie: Nobita's Earth Symphony,6.6, (1.4K),1h 55m,family
43. The Lost Tiger,7.8, (41),1h 30m,family
44. 10 Lives,5.9, (1.9K),1h 28m,family
45. Runt,6.4, (506),1h 31m,family
46. Panda Plan,5.1, (1.1K),1h 39m,family
47. Autumn and the Black Jaguar,5.6, (973),1h 40m,family
48. Woody Woodpecker Goes to Camp,4.5, (2.5K),1h 40m,family
49. Storm Crashers,6.3, (551),1h 28m,family
50. My Freaky Family,6.4, (390),1h 26m,family
52. Dalia y el Libro Rojo,6.5, (61),1h 47m,family
53. Bibi Rajni,8.6, (709),2h 23m,family
54. Meiyazhagan,8.4, (13K),2h 57m,family
55. Rajakili,7.6, (560),2h 2m,family
56. Savages,7.0, (275),1h 27m,family
57. Crayon Shin-chan: Ora's Dinosaur Diary,6.5, (318),1h 46m,family
58. 200% Wolf,6.0, (1.3K),1h 38m,family
59. Rebellious,6.0, (169),1h 34m,family
60. Bila Esok Ibu Tiada,6.5, (258),1h 44m,family
61. Bambi: A Tale of Life in the Woods,5.7, (154),1h 25m,family
62. The Night Before Christmas in Wonderland,6.3, (509),1h 20m,family
63. Average Joe,4.2, (560),1h 40m,family
64. Man and Witch: The Dance of a Thousand Steps,5.5, (327),1h 34m,family
65. The Groomsmen: First Look,6.1, (379),1h 22m,family
66. Panda Bear in Africa,5.5, (310),1h 24m,family
67. Ryan's World the Movie: Titan Universe Adventure,1.8, (659),1h 20m,family
68. A Sudden Case of Christmas,5.1, (1.1K),1h 31m,family
69. Niko: Beyond the Northern Lights,6.2, (310),1h 26m,family
70. And the Breadwinner Is...,6.8, (241),2h 3m,family
71. Ghost Cat Anzu,6.5, (724),1h 37m,family
72. Believe in Christmas,6.1, (820),1h 30m,family
73. Robin and the Hoods,4.3, (504),1h 40m,family
74. A Nashville Wish,5.6, (89),1h 42m,family
75. A Carpenter's Prayer,8.6, (33),1h 31m,family
76. Super-Charlie,5.8, (109),1h 20m,family
77. The Neon Highway,6.0, (485),1h 53m,family
78. Rally Caps,5.5, (136),1h 40m,family
79. School of Magical Animals 3,5.9, (299),1h 45m,family
80. Der Buchspazierer,7.3, (363),1h 38m,family
81. The Primrose Railway Children,4.9, (142),1h 21m,family
82. Marry Christmas,6.9, (58),1h 25m,family
83. A Brother and 7 Siblings,8.6, (1.1K),2h 9m,family
85. Véletlenül írtam egy könyvet,7.7, (290),1h 38m,family
"86. Love, Sitara",5.3, (295),1h 45m,family
87. No Time to Spy: A Loud House Movie,6.4, (438),1h 21m,family
88. Skelly,5.6, (90),1h 25m,family
89. Sabari,8.4, (5.4K),2h 9m,family
90. Brewster's Millions: Christmas,5.7, (186),1h 40m,family
91. Home Sweet Loan,8.1, (830),1h 52m,family
92. Treasure Trackers,5.8, (158),1h 32m,family
93. The Snow Sister,7.0, (2.1K),1h 36m,family
94. Going Viral,6.8, (50),1h 30m,family
95. Dongeng Sang Kancil,8.3, (80),1h 39m,family
96. Cup,8.5, (66),2h 26m,family
97. Return to Wickensburg,4.7, (25),1h 28m,family
98. Chico Bento e a Goiabeira Maraviosa,7.6, (680),1h 30m,family
99. Disaster Holiday,4.8, (678),1h 33m,family
100. Juliette au printemps,6.4, (219),1h 35m,family
101. Juf Braaksel en de Geniale Ontsnapping,4.0, (43),1h 23m,family
102. Babah,7.0, (105),2h 9m,family
103. Ole Aale,8.7, (408),2h 22m,family
104. The Casagrandes Movie,5.6, (657),1h 29m,family
105. Like a Rolling Stone,7.8, (415),1h 46m,family
"106. Maya, donne-moi un titre",6.4, (48),1h 1m,family
107. 2nd Miracle in Cell No. 7,7.8, (199),2h 27m,family
108. Big City Greens the Movie: Spacecation,6.2, (536),TV-Y7,family
109. Dance Rivals,5.9, (64),1h 33m,family
110. Father There is Only One 4,5.2, (603),1h 30m,family
111. Dear Family,6.9, (52),1h 56m,family
112. Victoria må dø,5.9, (349),1h 25m,family
113. Børnene fra Sølvgade,7.6, (92),1h 42m,family
115. Grrr...,4.0, (807),2h 1m,family
116. My Oni Girl,6.0, (1.7K),1h 52m,family
117. The Big Trip 3: Race Around the World,5.7, (51),1h 25m,family
118. Elli and the Ghostly Ghost Train,5.0, (89),1h 26m,family
"119. Die Heinzels: Neue Mützen, Neue Mission",6.4, (74),1h 16m,family
120. Krispy Rishtey,6.6, (69),2h 13m,family
121. Gracie and Pedro: Pets to the Rescue,5.1, (261),1h 27m,family
122. Letuchiy korabl,3.8, (291),1h 40m,family
123. The Adventures of Jurassic Pet: Return to the Wild,5.5, (54),1h 30m,family
124. Bremenskie muzykanty,4.6, (662),1h 55m,family
125. Dog Days,6.7, (303),2h,family
126. Paper Flowers,8.8, (30),1h 40m,family
127. Aanandhapuram Diaries,7.1, (2.5K),1h 55m,family
128. Heartsping : Teenieping of Love,7.0, (22),TV-Y,family
"129. Robotia, the Movie",8.2, (22),1h 26m,family
130. Little Emma,5.7, (103),1h 46m,family
131. Zak & Wowo: The Legend of Lendarys,5.7, (87),1h 25m,family
132. Il migliore dei mali,7.8, (6),1h 30m,family
133. Windcatcher,5.3, (406),1h 20m,family
134. Kvitebjørn,5.9, (53),1h 25m,family
135. Luv Ki Arrange Marriage,3.9, (4.5K),2h 15m,family
136. G for Gap,7.2, (537),1h 43m,family
137. Powder Pup,6.2, (73),1h 29m,family
138. Living Large,7.7, (101),1h 20m,family
139. Stinky Summer,5.9, (45),1h 30m,family
140. Goldbeak,4.9, (127),1h 34m,family
141. Tri kota. Zimnie kanikuly,6.1, (27),1h 5m,family
143. Saint Nick of Bethlehem,9.3, (96),1h 33m,family
145. Chicken Coop,5.8, (88),1h 38m,family
